년(Annual),시도명,부과,부과,징수,징수
년(Annual),시도명,건수,금액(백만원),건수,금액(백만원)
2025,계,4,498,372,979,5,309,448,360
2025,서울,15,11,249,15,9,815
2025,부산,47,2,953,89,7,196
2025,대구,42,2,148,29,3,011
2025,인천,142,7,300,212,45,404
2025,광주,29,4,429,35,2,693
2025,대전,29,681,25,664
2025,울산,41,2,085,45,2,150
2025,경기,2,589,253,170,3,390,319,161
2025,강원,186,25,675,182,4,615
2025,충북,214,5,015,187,4,722
2025,충남,248,15,613,267,12,753
2025,전북,43,1,768,41,1,811
2025,전남,46,2,436,86,3,432
2025,경북,206,8,024,216,8,003
2025,경남,152,8,232,137,5,213
2025,제주,428,20,940,292,14,613
2025,세종,41,1,261,61,3,104
